,y,x
149498300,29.3398302,-98.6230681
149498551,29.193585,-98.585202
149498553,29.193587,-98.585794
149498747,29.403339,-98.542828
149498760,29.40401,-98.545657
149498791,29.4109371,-98.4798023
149498948,29.323927,-98.617376
149498950,29.3226959,-98.6168236
149498974,29.3969086,-98.6500536
149499003,29.3966706,-98.649723
149499473,29.3206977,-98.5004798
149499477,29.3210654,-98.496985
149499491,29.321796,-98.4740773
149499492,29.321596,-98.470844
149499580,29.213884,-98.514477
149499754,29.3856,-98.553614
149499757,29.386357,-98.551245
149499760,29.3865883,-98.5506466
149499824,29.244859,-98.72215
149499826,29.245845,-98.72223
149499832,29.25217,-98.7405
149499834,29.252747,-98.740623
149499977,29.1943903,-98.6378839
149500008,29.3930578,-98.6483289
149500010,29.3910536,-98.6475986
149500038,29.411246,-98.480095
149500715,29.2293131,-98.6142059
149501319,29.281252,-98.735267
149501322,29.28156,-98.733355
149501366,29.3007492,-98.7045829
149501786,29.3384256,-98.6249374
149501821,29.3384241,-98.6243746
149501914,29.3967096,-98.5139169
149501920,29.39633,-98.5167065
149502021,29.379138,-98.561286
149502685,29.339874,-98.559248
149502800,29.310995,-98.615771
149502801,29.3123174,-98.6137279
149502804,29.399577,-98.650052
149502820,29.396927,-98.652213
149502845,29.3874021,-98.5505055
149503638,29.401568,-98.470509
149503650,29.3996457,-98.4731084
149503696,29.297753,-98.668142
149503698,29.297608,-98.667276
149503731,29.363562,-98.476329
149503913,29.258677,-98.621939
149503916,29.261697,-98.621902
149503996,29.4007447,-98.6361825
149503997,29.4017664,-98.6330882
149504100,29.265927,-98.742393
149504103,29.265913,-98.744307
149504344,29.337049,-98.5678788
149504346,29.3359255,-98.5700872
149504350,29.223173,-98.618399
149504404,29.402552,-98.627333
149504411,29.4022911,-98.6241777
149504421,29.407111,-98.597505
149504423,29.407543,-98.595539
149504438,29.298612,-98.668136
149504440,29.298603,-98.6668
149504708,29.3436915,-98.5517475
149504716,29.3948844,-98.6558362
149504732,29.3983319,-98.6440589
149504738,29.3993272,-98.6411068
149505557,29.259148,-98.717158
149505559,29.259469,-98.717192
149505568,29.258757,-98.718262
149505570,29.259086,-98.718422
149507195,29.311291,-98.502266
149507465,29.4069055,-98.6040901
149507467,29.4069299,-98.6003617
149507475,29.407126,-98.603607
149508431,29.3469263,-98.5420882
149508441,29.3453263,-98.5458346
149508953,29.4039787,-98.6184515
149508960,29.4048192,-98.61528
149509245,29.2513012,-98.7445027
149509251,29.2511478,-98.7440656
149509261,29.2519193,-98.740642
149509462,29.3984618,-98.5110605
149509472,29.3997426,-98.5114507
149509619,29.263076,-98.719605
149509620,29.263081,-98.718755
149509722,29.3377175,-98.6230857
149509725,29.3357376,-98.6226861
149509830,29.400195,-98.471385
149509836,29.3994543,-98.472988
149509887,29.4007296,-98.6355133
149509888,29.4012276,-98.6325827
149510093,29.342387,-98.6253293
149510095,29.3406366,-98.6243321
149510953,29.281817,-98.660591
149510959,29.280499,-98.663096
149510964,29.280321,-98.662883
149511282,29.2777955,-98.6570077
149511286,29.2780361,-98.6562289
149511289,29.2765607,-98.6562363
149511290,29.2762452,-98.6570088
